city,state,country,shape,duration (seconds),duration (hours/min),date posted,latitude,longitude,date,time
lacenter,wa,United States,other,4.0,4 seconds,10/28/2002,45.862337,-122.670378,10/19/2002,18:50
modesto,ca,United States,changing,7200.0,2 hours,10/31/2003,37.6391667,-120.9958333,10/19/2003,02:45
cottage grove,mn,United States,triangle,600.0,7-10 min&#44,10/31/2003,44.8277778,-92.9436111,10/19/2003,05:45
telkwa (canada),bc,Canada,sphere,6.0,6 seconds,10/31/2003,54.695016,-127.04761,10/19/2003,12:00
laredo,tx,United States,sphere,1500.0,25 min,10/31/2003,27.5061111,-99.5072222,10/19/2003,12:30
fort myers,fl,United States,oval,8.0,6-8 sec.,11/11/2003,26.6402778,-81.8725,10/19/2003,15:30
center,tx,United States,oval,10.0,10 seconds,10/31/2003,31.7952778,-94.1788889,10/19/2003,16:00
turners falls,ma,United States,light,300.0,3-5 minutes,11/26/2003,42.6041667,-72.5569444,10/19/2003,16:30
indianapolis,in,United States,unknown,3.0,1 to 3 seconds,10/31/2003,39.7683333,-86.1580556,10/19/2003,17:05
fontana,ca,United States,other,3.0,3 seconds,10/31/2003,34.0922222,-117.4341667,10/19/2003,17:30
fareham (uk/england),,United Kingdom,other,1.0,second,10/31/2003,50.85,-1.183333,10/19/2003,19:00
buena park,ca,United States,other,15.0,15 seconds,10/31/2003,33.8675,-117.9972222,10/19/2003,21:30
monson,me,United States,triangle,900.0,10 - 15 minutes,10/31/2003,45.2869444,-69.5016667,10/19/2003,23:30
vancouver (canada),bc,Canada,light,3.0,3 seconds,10/31/2003,49.25,-123.133333,10/19/2003,23:30
grand island,ne,United States,light,3600.0,over 1 hr.,11/2/2004,40.925,-98.3416667,10/19/2004,20:00
colwyn bay (uk/wales&#44 north country),,United Kingdom,other,18000.0,5 hrs,11/3/2005,53.3,-3.75,10/19/2005,01:30
chillicothe,oh,United States,fireball,10.0,10 seconds,10/20/2005,39.3330556,-82.9825,10/19/2005,02:00
elizabeth,nj,United States,light,60.0,1 minute,10/20/2005,40.6638889,-74.2111111,10/19/2005,07:30
bastrop,la,United States,triangle,2700.0,45 minutes,3/19/2009,32.7561111,-91.8722222,10/19/2005,18:00
marlboro,ma,United States,circle,1200.0,20minutes,11/3/2005,42.7166667,-70.9736111,10/19/2005,21:00
jonestown,pa,United States,light,60.0,60 seconds,10/20/2005,40.4136111,-76.4786111,10/19/2005,21:15
whitesburg,ky,United States,triangle,300.0,5 minutes,11/3/2005,37.1183333,-82.8269444,10/19/2005,22:00
milwaukee,wi,United States,triangle,300.0,5 minutes,11/3/2005,43.0388889,-87.9063889,10/19/2005,22:45
harrisonville,ga,United States,other,10.0,10 seconds,10/30/2006,33.1758333,-84.9886111,10/19/2006,06:10
olive branch,ms,United States,other,2.0,2 secs.,10/30/2006,34.9616667,-89.8294444,10/19/2006,07:05
london (uk/england),,United Kingdom,light,180.0,3 minutes,10/30/2006,51.514125,-0.093689,10/19/2006,11:50
las vegas,nv,United States,chevron,900.0,15 mins,10/30/2006,36.175,-115.1363889,10/19/2006,12:10
boulder,co,United States,triangle,60.0,1min,10/30/2006,40.015,-105.27,10/19/2006,18:50
hammonton,nj,United States,unknown,600.0,10 minutes,10/30/2006,39.6363889,-74.8027778,10/19/2006,19:40
fowlerville,mi,United States,unknown,4200.0,70 minutes,10/30/2006,42.6605556,-84.0730556,10/19/2006,22:15
brule,wi,United States,circle,3600.0,1 hour,11/28/2007,46.5530556,-91.5763889,10/19/2007,02:00
banks,or,United States,sphere,8.0,8 seconds,11/28/2007,45.6188889,-123.1130556,10/19/2007,15:00
phoenix,az,United States,light,1200.0,20 minutes,11/28/2007,33.4483333,-112.0733333,10/19/2007,16:45
leamington spa (uk/england),,United Kingdom,diamond,1200.0,20 minutes,11/28/2007,52.3,-1.533333,10/19/2007,17:30
boca raton,fl,United States,oval,300.0,5 minutes,11/28/2007,26.3583333,-80.0833333,10/19/2007,18:30
north richland hills,tx,United States,teardrop,300.0,5 minutes,11/28/2007,32.8341667,-97.2286111,10/19/2007,19:00
keller,tx,United States,fireball,300.0,5 minutes,3/4/2008,32.9344444,-97.2513889,10/19/2007,19:20
southlake,tx,United States,fireball,300.0,5 minues,1/21/2008,32.9411111,-97.1338889,10/19/2007,19:30
keller,tx,United States,fireball,7.0,7 seconds,11/28/2007,32.9344444,-97.2513889,10/19/2007,19:34
roanoke,tx,United States,unknown,40.0,40 sec,11/28/2007,33.0038889,-97.2255556,10/19/2007,19:35
keller,tx,United States,light,180.0,3 minutes,11/28/2007,32.9344444,-97.2513889,10/19/2007,19:45
keller,tx,United States,fireball,120.0,2 minutes,11/28/2007,32.9344444,-97.2513889,10/19/2007,20:00
clinton township,mi,United States,disk,300.0,5 minutes,11/28/2007,42.586888,-82.919551,10/19/2007,21:14
irving,tx,United States,light,60.0,less than 1 minute,11/28/2007,32.8138889,-96.9486111,10/19/2007,22:00
danville,ca,United States,chevron,300.0,5 minutes,11/28/2007,37.8216667,-121.9988889,10/19/2007,22:30
bridgeport/trumbull,ct,United States,rectangle,25.0,25 seconds,10/31/2008,41.220726,-73.195091,10/19/2008,01:00
minot,nd,United States,triangle,7200.0,2 hours,10/31/2008,48.2325,-101.2958333,10/19/2008,01:00
albuquerque,nm,United States,other,5.0,about 5 seconds,10/31/2008,35.0844444,-106.6505556,10/19/2008,02:00
christiansburg,va,United States,rectangle,180.0,3 minutes,10/31/2008,37.1297222,-80.4091667,10/19/2008,03:00
miami,fl,United States,cylinder,4.0,4seconds,10/31/2008,25.7738889,-80.1938889,10/19/2008,06:10
puntarenas (costa rica),,Costa rica,sphere,60.0,1 minute,10/31/2008,9.977844,-84.829421,10/19/2008,06:40
mount washington,ky,United States,other,10.0,10 seconds,10/31/2008,38.05,-85.5458333,10/19/2008,09:40
gainesville,va,United States,cigar,180.0,3 minutes,1/10/2009,38.7955556,-77.6141667,10/19/2008,11:00
flagstaff,az,United States,circle,7.0,7 seconds,1/10/2009,35.1980556,-111.6505556,10/19/2008,11:10
hilo,hi,United States,sphere,600.0,10 mins,1/10/2009,19.7297222,-155.09,10/19/2008,12:00
king george,va,United States,circle,600.0,10 minutes,10/31/2008,38.2680556,-77.1847222,10/19/2008,14:00
cary,il,United States,disk,35.0,35 seoonds,10/31/2008,42.2119444,-88.2380556,10/19/2008,17:00
philadelphia/baltimore (between),md,United States,light,3.0,2-3 seconds,10/31/2008,39.299166,-76.578899,10/19/2008,17:00
bastrop,la,United States,unknown,60.0,1 minute,10/31/2008,32.7561111,-91.8722222,10/19/2008,18:00
tucson,az,United States,unknown,600.0,10 minutes,10/31/2008,32.2216667,-110.9258333,10/19/2008,18:35
weimar,tx,United States,oval,2.0,seconds,10/31/2008,29.7027778,-96.7802778,10/19/2008,19:00
timmonsville,sc,United States,unknown,900.0,15 min,10/31/2008,34.1347222,-79.94,10/19/2008,19:30
north adams,ma,United States,unknown,3600.0,1 hour,10/31/2008,42.7008333,-73.1091667,10/19/2008,21:00
doylestown,pa,United States,,180.0,3 min,10/31/2008,40.31,-75.1302778,10/19/2008,22:30
richmond,va,United States,sphere,45.0,45 seconds,10/31/2008,37.5536111,-77.4605556,10/19/2008,22:30
laurel,ms,United States,light,432000.0,5 days,1/10/2009,31.6938889,-89.1305556,10/19/2008,23:09
mount laurel,nj,United States,circle,1500.0,25 minutes,12/12/2009,39.9338889,-74.8913889,10/19/2009,00:50
dayton,oh,United States,light,600.0,10 minutes,12/12/2009,39.7588889,-84.1916667,10/19/2009,01:30
oshawa (canada),on,Canada,diamond,20.0,20 seconds,12/12/2009,43.9,-78.866667,10/19/2009,01:41
hanover park,il,United States,oval,2.0,few seconds,12/12/2009,41.9994444,-88.145,10/19/2009,06:15
detroit,mi,United States,other,900.0,15 min,12/12/2009,42.3313889,-83.0458333,10/19/2009,18:30
west dennis,ma,United States,sphere,4.0,3-4 seconds,12/12/2009,41.7352778,-70.1944444,10/19/2009,19:15
horseshoe lake,ny,United States,unknown,3600.0,7pm- 8pm,12/12/2009,44.135446,-74.621486,10/19/2009,19:30
sidney,tx,United States,light,120.0,2min,12/12/2009,31.9491667,-98.7369444,10/19/2009,20:30
vya (ghost town),nv,United States,light,900.0,10-15 min,5/2/2011,41.5922222,-119.8594444,10/19/2009,21:00
yonkers,ny,United States,sphere,900.0,15 minutes,11/21/2010,40.9311111,-73.8991667,10/19/2010,13:00
seattle,wa,United States,light,5.0,5 seconds,11/21/2010,47.6063889,-122.3308333,10/19/2010,18:30
kirkland,wa,United States,light,600.0,10 minutes,11/21/2010,47.6816667,-122.2075,10/19/2010,19:00
tacoma,wa,United States,light,10.0,5-10 seconds,11/21/2010,47.2530556,-122.4430556,10/19/2010,19:00
riverdale,ut,United States,light,20.0,15-20 seconds,11/21/2010,41.1769444,-112.0030556,10/19/2010,20:05
raleigh,nc,United States,light,15.0,15 seconds,11/21/2010,35.7719444,-78.6388889,10/19/2010,20:15
southern oregon,or,United States,unknown,60.0,1min,11/21/2010,42.188354,-122.690442,10/19/2010,20:15
crescent city/gasquet,ca,United States,triangle,720.0,12 mins,11/21/2010,41.878168,-123.984798,10/19/2010,20:18
brookings,or,United States,circle,1800.0,30 minutes,11/21/2010,42.0527778,-124.2827778,10/19/2010,20:30
hazen/fallon,nv,United States,triangle,4.0,4 seconds,11/21/2010,39.56464,-119.023428,10/19/2010,20:33
ormond beach,fl,United States,light,600.0,10 minutes,11/21/2010,29.2855556,-81.0561111,10/19/2010,21:00
burnsville,nc,United States,unknown,120.0,about 2 minutes,3/13/2012,35.9172222,-82.3011111,10/19/2010,21:19
cross lanes,wv,United States,light,4.0,3-4 seconds,9/24/2012,38.4202778,-81.7908333,10/19/2010,23:00
denver,co,United States,formation,5.0,5 seconds,10/19/2011,39.7391667,-104.9841667,10/19/2011,01:54
renner,sd,United States,flash,2.0,2 seconds,10/19/2011,43.6455556,-96.7280556,10/19/2011,02:00
lennox,sd,United States,,60.0,1 minute,10/19/2011,43.3541667,-96.8916667,10/19/2011,03:20
hinsdale,ma,United States,fireball,120.0,2 minutes,10/25/2011,42.4386111,-73.1258333,10/19/2011,06:40
orlando,fl,United States,changing,1200.0,20 mins,10/19/2011,28.5380556,-81.3794444,10/19/2011,06:47
las vegas,nv,United States,disk,900.0,10-15 minutes,10/25/2011,36.175,-115.1363889,10/19/2011,18:45
san francisco,ca,United States,light,9000.0,2.5 hr,10/25/2011,37.775,-122.4183333,10/19/2011,19:30
maricopa,az,United States,other,10.0,10 seconds,10/25/2011,33.0580556,-112.0469444,10/19/2011,20:37
brown city,mi,United States,sphere,2700.0,45 min,10/25/2011,43.2122222,-82.9897222,10/19/2011,21:00
louisville,co,United States,light,3.0,3 seconds,10/25/2011,39.9777778,-105.1313889,10/19/2011,22:15
loveland,co,United States,cigar,10.0,10 seconds,10/25/2011,40.3977778,-105.0744444,10/19/2011,22:15
eagle mountain,tx,United States,other,120.0,few minutes,9/30/2013,32.8933333,-97.4441667,10/19/2011,22:56
pasco,wa,United States,formation,300.0,5 min,10/25/2011,46.2397222,-119.0994444,10/19/2011,23:30
unity,me,United States,circle,900.0,15 minutes,10/30/2012,44.6111111,-69.335,10/19/2012,02:00
gimhae (kimhae) (south korea),,Fuck,disk,5400.0,1-1.5 hours,10/30/2012,35.228545,128.889352,10/19/2012,02:30
everett,wa,United States,circle,180.0,2 - 3 minutes,10/30/2012,47.9791667,-122.2008333,10/19/2012,05:00
blandford forum (uk/england),,United Kingdom,unknown,300.0,5 minutes,10/30/2012,50.866667,-2.166667,10/19/2012,06:20
tacoma,wa,United States,oval,60.0,1 minute,10/30/2012,47.2530556,-122.4430556,10/19/2012,09:03
severn,md,United States,other,300.0,3-5 minutes,10/30/2012,39.1369444,-76.6986111,10/19/2012,18:00
north port,fl,United States,other,300.0,5 minutes,10/30/2012,27.0438889,-82.2361111,10/19/2012,19:00
butler,md,United States,light,180.0,3 minutes,10/30/2012,39.5352778,-76.7283333,10/19/2012,19:15
santa barbara,ca,United States,fireball,60.0,1 minute,10/30/2012,34.4208333,-119.6972222,10/19/2012,19:15
lockport,il,United States,oval,60.0,1 minute,10/30/2012,41.5894444,-88.0577778,10/19/2012,19:28
burns,tn,United States,fireball,300.0,~4-5 minutes,10/30/2012,36.0533333,-87.3125,10/19/2012,20:30
katy,tx,United States,triangle,20.0,15-20 seconds,10/30/2012,29.7855556,-95.8241667,10/19/2012,20:35
lakewood ranch,fl,United States,light,600.0,10 minutes,10/30/2012,27.411695,-82.428522,10/19/2012,21:00
oklahoma city/edmond,ok,United States,triangle,900.0,10 to 15 minutes,10/30/2012,35.652832,-97.478095,10/19/2012,21:40
nashville,tn,United States,fireball,2700.0,45 minutes,10/30/2012,36.1658333,-86.7844444,10/19/2012,22:00
seaside park,nj,United States,circle,300.0,5 minutes,10/30/2012,39.9266667,-74.0775,10/19/2012,23:00
scorrsdale,az,United States,light,300.0,5 minutes,10/30/2012,33.49417,-111.926052,10/19/2012,23:05
scottsdale,az,United States,light,600.0,10 minutes,10/30/2012,33.5091667,-111.8983333,10/19/2012,23:25
nashville,tn,United States,unknown,1200.0,>20 minutes,10/30/2012,36.1658333,-86.7844444,10/19/2012,23:45
glendale,ca,United States,circle,7200.0,>2 hours,10/30/2012,34.1425,-118.2541667,10/19/2012,23:58
faison,nc,United States,oval,2.0,~2 seconds,10/30/2012,35.1161111,-78.1363889,10/19/2012,23:59
eau claire,wi,United States,oval,180.0,3 minutes,10/23/2013,44.8113889,-91.4983333,10/19/2013,00:00
arlington,va,United States,circle,240.0,4 minutes,10/23/2013,38.8902778,-77.0844444,10/19/2013,00:17
virginia beach,va,United States,unknown,5.0,5 seconds,10/23/2013,36.8527778,-75.9783333,10/19/2013,00:20
prescott,az,United States,oval,300.0,5 minutes,10/23/2013,34.54,-112.4677778,10/19/2013,07:30
murphysboro,il,United States,other,600.0,10 minutes,10/23/2013,37.7644444,-89.335,10/19/2013,10:45
miramar,fl,United States,light,600.0,10 minutes,10/23/2013,25.9869444,-80.2325,10/19/2013,11:00
revere,ma,United States,oval,6.0,6 seconds,10/23/2013,42.4083333,-71.0125,10/19/2013,11:33
los angeles,ca,United States,disk,1560.0,26 minutes,10/23/2013,34.0522222,-118.2427778,10/19/2013,13:13
sierra vista,az,United States,circle,20.0,20 seconds,10/23/2013,31.5544444,-110.3030556,10/19/2013,13:40
brownsville,or,United States,disk,360.0,4-6 minutes,1/24/2014,44.3936111,-122.9836111,10/19/2013,18:00
san pedro sul (honduras),,Honduras,fireball,900.0,15 minutes,10/23/2013,15.5,-88.033333,10/19/2013,18:30
lafayette,in,United States,light,300.0,5+ minutes,2/27/2014,40.4166667,-86.8752778,10/19/2013,18:45
lowell,ma,United States,light,120.0,several minutes,10/23/2013,42.6333333,-71.3166667,10/19/2013,19:05
winslow,az,United States,fireball,10.0,10 seconds,10/23/2013,35.0241667,-110.6966667,10/19/2013,19:30
fairdale,ky,United States,light,30.0,30 seconds,10/23/2013,38.105,-85.7588889,10/19/2013,20:03
riverview (canada),nb,Canada,light,1200.0,15-20 minutes,10/23/2013,46.05,-64.81,10/19/2013,20:05
swansea,il,United States,unknown,420.0,5-7 minutes,10/23/2013,38.5338889,-89.9888889,10/19/2013,20:10
aubrey/frisco,tx,United States,unknown,1200.0,20 minutes,10/23/2013,33.174147,-96.87871,10/19/2013,20:15
chandler,az,United States,fireball,180.0,3 minutes,10/23/2013,33.3061111,-111.8405556,10/19/2013,20:15
oshkosh,wi,United States,circle,600.0,10 minutes,10/23/2013,44.0247222,-88.5425,10/19/2013,20:15
goodyear,az,United States,fireball,180.0,3 minutes,10/23/2013,33.4352778,-112.3575,10/19/2013,20:30
orlando,fl,United States,other,900.0,10-15 minutes,10/23/2013,28.5380556,-81.3794444,10/19/2013,20:45
fond du lac,wi,United States,light,300.0,5 minutes,10/23/2013,43.7730556,-88.4469444,10/19/2013,20:53
festus,mo,United States,sphere,15.0,10-15 seconds,10/23/2013,38.2205556,-90.3958333,10/19/2013,21:00
lewisburg,pa,United States,other,30.0,30 seconds,11/11/2013,40.9644444,-76.8847222,10/19/2013,21:00
poolesville,md,United States,sphere,3600.0,1+ hours,10/23/2013,39.1458333,-77.4172222,10/19/2013,21:11
palm desert,ca,United States,light,300.0,5 minutes,10/23/2013,33.7222222,-116.3736111,10/19/2013,21:30
saint louis,mo,United States,triangle,120.0,minutes,10/23/2013,38.6272222,-90.1977778,10/19/2013,21:30
silver creek,ga,United States,triangle,1800.0,~30 minutes,10/23/2013,34.1761111,-85.1613889,10/19/2013,21:30
st. paul,mn,United States,sphere,5.0,5 seconds,10/23/2013,44.9444444,-93.0930556,10/19/2013,21:30
charlotte,nc,United States,sphere,420.0,7 minutes,10/23/2013,35.2269444,-80.8433333,10/19/2013,21:53
ansonia,ct,United States,triangle,180.0,3 minutes,10/23/2013,41.3461111,-73.0794444,10/19/2013,22:00
boise,id,United States,sphere,600.0,5-10 minutes,10/23/2013,43.6136111,-116.2025,10/19/2013,22:00
brecksville,oh,United States,sphere,300.0,5 minutes,10/23/2013,41.3197222,-81.6269444,10/19/2013,22:00
koh samui (thailand),,Thailand,circle,60.0,60 seconds,10/23/2013,9.512017,100.013593,10/19/2013,22:00
flint,mi,United States,sphere,420.0,7 minutes,10/23/2013,43.0125,-83.6875,10/19/2013,22:15
austin,tx,United States,flash,10.0,10 seconds,10/23/2013,30.2669444,-97.7427778,10/19/2013,22:30
jupiter,fl,United States,light,300.0,5 minutes,10/23/2013,26.9338889,-80.0944444,10/19/2013,22:30
albuquerque,nm,United States,light,900.0,15 minutes,10/23/2013,35.0844444,-106.6505556,10/19/2013,23:00
napanee (canada),on,Canada,fireball,2700.0,45 minutes,10/23/2013,44.25,-76.95,10/19/2013,23:30
st. paul,mn,United States,other,2.0,2 seconds,3/16/2000,44.9444444,-93.0930556,10/20/1958,21:00
ramey airforce base (sac) (puerto rico),,Puerto rico,oval,2700.0,45 minutes,6/3/2011,38.738308,-93.573028,10/20/1962,05:30
new iberia,la,United States,circle,300.0,5 minutes,8/7/2007,30.0033333,-91.8186111,10/20/1964,12:00
detroit,mi,United States,circle,2700.0,45 minutes,2/18/2001,42.3313889,-83.0458333,10/20/1964,21:00
joppatown,md,United States,fireball,120.0,2 minutes,8/5/2009,39.415,-76.356111,10/20/1965,15:00
albuquerque,nm,United States,diamond,180.0,3 minutes,2/16/2000,35.0844444,-106.6505556,10/20/1966,02:00
old greenwich,ct,United States,disk,30.0,30 seconds,2/1/2007,41.0227778,-73.5652778,10/20/1967,18:00
ashtabula (saybrook twnshp.),oh,United States,disk,900.0,15:00 min.,8/24/2004,41.865,-80.79,10/20/1968,01:00
bullskin,pa,United States,circle,120.0,2min,2/18/2001,40.095714,-79.492886,10/20/1968,19:00
fleetwood (uk/england),,United Kingdom,formation,1200.0,20 minutes,2/8/2005,53.916667,-3.0,10/20/1968,19:30
wayne,mi,United States,oval,3600.0,1 hour,8/12/2008,42.2813889,-83.3863889,10/20/1968,20:00
new york city (brooklyn),ny,United States,,3600.0,1/2 hour,3/19/2009,40.7141667,-74.0063889,10/20/1973,00:00
carthage,in,United States,fireball,1200.0,20 minutes,1/21/2008,39.7383333,-85.5719444,10/20/1973,23:30
san jose,ca,United States,fireball,300.0,5 minutes,4/2/1999,37.3394444,-121.8938889,10/20/1974,07:00
houston,tx,United States,circle,2700.0,45 minutes,1/5/2011,29.7630556,-95.3630556,10/20/1974,19:30
owensboro,ky,United States,light,5.0,2 to 5 seconds,5/24/1999,37.7741667,-87.1133333,10/20/1974,21:00
mcdermott,nv,United States,sphere,10800.0,3 hours,8/5/2012,41.997297,-117.718997,10/20/1975,01:30
watkins glen,ny,United States,,600.0,10 minutes,2/12/2004,42.3805556,-76.8736111,10/20/1975,03:15
enterprise,al,United States,other,120.0,two minutes,4/16/2005,31.315,-85.8552778,10/20/1975,22:00
avon lake,oh,United States,circle,900.0,10 to 15 minutes,7/16/2006,41.5052778,-82.0283333,10/20/1976,00:00
soldotna,ak,United States,sphere,7200.0,2 hrs.,4/16/2005,60.4877778,-151.0583333,10/20/1976,22:00
west seneca,ny,United States,triangle,600.0,10 min.,2/1/2007,42.765189,-76.872096,10/20/1978,22:00
corpus christi (maliki beach),tx,United States,disk,300.0,5min,8/30/1999,27.8002778,-97.3961111,10/20/1980,18:00
dallas,tx,United States,triangle,2700.0,30-45 min,4/27/2004,32.7833333,-96.8,10/20/1980,19:00
sherwood,or,United States,other,15.0,about 15 sec,11/3/2005,45.3566667,-122.8388889,10/20/1981,21:00
middle town,ca,United States,diamond,180.0,1-3 minutes,9/15/2005,38.752405,-122.614985,10/20/1984,03:00
columbus,oh,United States,light,14400.0,4 hr,12/3/2004,39.9611111,-82.9988889,10/20/1984,05:00
throop,pa,United States,oval,14400.0,hours,12/23/2002,41.4513889,-75.6122222,10/20/1985,05:00
moorestown,nj,United States,oval,600.0,5-10 minutes,6/18/2003,39.9669444,-74.9430556,10/20/1985,19:00
raleigh/garner,nc,United States,triangle,180.0,2-3 minutes,2/1/2007,35.749436,-78.63156,10/20/1986,19:00
spokane,wa,United States,changing,1200.0,15-20 minutes,12/2/2000,47.6588889,-117.425,10/20/1988,21:30
ottawa (canada),on,Canada,circle,80.0,80 second,11/2/2004,45.416667,-75.7,10/20/1989,00:00
newfoundland,pa,United States,other,2700.0,45 min,1/17/2004,41.3072222,-75.3202778,10/20/1989,03:00
diamond bar (on the 57),ca,United States,changing,300.0,5 minutes,1/28/1999,34.0286111,-117.8094444,10/20/1989,18:30
west palm beach,fl,United States,cylinder,180.0,3 min,3/31/2008,26.7052778,-80.0366667,10/20/1989,24:00
almont,mi,United States,oval,1800.0,30 minutes,8/12/2008,42.9205556,-83.045,10/20/1990,18:30
glencoe,ok,United States,other,300.0,5 minutes+,3/21/2003,36.2286111,-96.9252778,10/20/1990,22:50
kaunas (lithuania),,Lithuania,unknown,3600.0,1 hour,3/17/2004,54.898521,23.903597,10/20/1992,02:00
plant city,fl,United States,disk,300.0,5 min,4/2/1999,28.0183333,-82.1130556,10/20/1994,07:30
stone ridge,ny,United States,triangle,600.0,10 minutes,1/28/1999,41.8530556,-74.1394444,10/20/1994,20:30
stone ridge,ny,United States,light,240.0,3-4 minutes,2/18/2001,41.8530556,-74.1394444,10/20/1994,22:00
taunton,ma,United States,circle,10.0,8-10 seconds,10/10/2011,41.9,-71.0902778,10/20/1994,23:40
clayton,ga,United States,oval,1200.0,15 to 20 minutes,6/12/2008,34.8780556,-83.4011111,10/20/1995,22:00
medford,or,United States,fireball,25.0,25 seconds,9/17/2000,42.3266667,-122.8744444,10/20/1995,22:00
simi valley,ca,United States,light,25.0,many hours,11/28/2007,34.2694444,-118.7805556,10/20/1995,22:00
tipton,in,United States,sphere,900.0,15 minutes,6/23/2004,40.2822222,-86.0411111,10/20/1996,11:18
wichita/rose hill,ks,United States,light,900.0,15 minutes,1/28/1999,37.709677,-97.308457,10/20/1996,18:20
odessa,tx,United States,diamond,300.0,5 minutes,1/28/1999,31.8455556,-102.3672222,10/20/1996,20:20
gig harbor,wa,United States,light,60.0,30 seconds to 1 minute,12/12/2011,47.3294444,-122.5788889,10/20/1997,08:45
round rock,tx,United States,diamond,3600.0,1 hour or more,6/4/2004,30.5080556,-97.6786111,10/20/1997,20:00
grimsby (uk/england),,United Kingdom,egg,120.0,2 minutes,8/16/2002,53.533333,-0.05,10/20/1997,22:00
bowling green,ky,United States,unknown,1200.0,10 to 20 min,8/24/2004,36.9902778,-86.4436111,10/20/1998,00:00
lewiston,me,United States,formation,1200.0,1/2 hour +,1/28/1999,44.1002778,-70.2152778,10/20/1998,02:00
corunna,mi,United States,changing,60.0,one min.,7/26/2002,42.9819444,-84.1177778,10/20/1998,11:30
spokane,wa,United States,sphere,3.0,2-3 sec,7/5/1999,47.6588889,-117.425,10/20/1998,17:30
moorpark,ca,United States,oval,600.0,10min.,11/1/1998,34.2855556,-118.8811111,10/20/1998,18:00
avon,nc,United States,chevron,180.0,3 min,10/31/2008,35.3519444,-75.5108333,10/20/1998,20:30
huntsville,al,United States,triangle,600.0,10 min,8/5/2001,34.7302778,-86.5861111,10/20/1998,22:00
seattle,wa,United States,sphere,300.0,3 to 5 minutes,3/16/2001,47.6063889,-122.3308333,10/20/1999,01:30
white river national forest,ar,United States,light,3600.0,1 hour,5/13/2012,36.613415,-93.463112,10/20/1999,02:00
boise,id,United States,light,180.0,3 minutes est,11/2/1999,43.6136111,-116.2025,10/20/1999,07:25
stevensville,mt,United States,other,60.0,one minute,11/2/1999,46.51,-114.0922222,10/20/1999,08:15
stevensville,mt,United States,other,90.0,1.5 min,11/2/1999,46.51,-114.0922222,10/20/1999,08:15
temple,tx,United States,cylinder,600.0,10 minutes,11/2/1999,31.0980556,-97.3425,10/20/1999,19:00
spanaway,wa,United States,unknown,10.0,10sec,11/2/1999,47.1041667,-122.4333333,10/20/1999,22:20
shoreline,wa,United States,fireball,2.5,2.5 seconds,11/2/1999,47.7558333,-122.3402778,10/20/1999,22:25
amity,or,United States,circle,5.0,5 seconds,11/2/1999,45.1158333,-123.2061111,10/20/1999,22:30
milwaukee,wi,United States,sphere,8.0,6-8 seconds,11/2/1999,43.0388889,-87.9063889,10/20/1999,22:30
montesano,wa,United States,fireball,10.0,5 - 10 sec,11/2/1999,46.9813889,-123.6013889,10/20/1999,22:30
tumwater,wa,United States,fireball,4.0,4 sec.,11/2/1999,47.0075,-122.9080556,10/20/1999,22:30
portland (40 mi. west of),or,United States,circle,3.0,3 sec.,11/2/1999,45.5236111,-122.675,10/20/1999,22:33
kingston,wa,United States,light,3.0,3 seconds,11/2/1999,47.7988889,-122.4969444,10/20/1999,22:35
lewistown,il,United States,other,40.0,30-40 seconds,2/16/2000,40.3930556,-90.1547222,10/20/1999,23:00
allegan,mi,United States,triangle,180.0,2-3 min.,12/2/2000,42.5291667,-85.8552778,10/20/2000,01:30
louisville,ky,United States,light,1800.0,30 min,4/28/2001,38.2541667,-85.7594444,10/20/2000,03:00
lansing,mi,United States,unknown,300.0,5 minutes,12/2/2000,42.7325,-84.5555556,10/20/2000,07:50
granite/east st. louis,il,United States,,300.0,5minutes,12/2/2000,38.70217,-90.168279,10/20/2000,12:00
easley,sc,United States,disk,60.0,maybe a minute,12/16/2005,34.8297222,-82.6016667,10/20/2000,20:00
scunthorpe (uk/england),,United Kingdom,triangle,10.0,10 seconds,12/2/2000,53.583333,-0.65,10/20/2000,20:20
ridgefield,ct,United States,triangle,120.0,2 minutes,1/17/2004,41.2813889,-73.4986111,10/20/2000,20:30
westbury,ny,United States,disk,60.0,1 minute,12/2/2000,40.7555556,-73.5880556,10/20/2000,20:45
kenosha,wi,United States,light,18000.0,5hours,12/2/2000,42.5847222,-87.8211111,10/20/2000,21:00
west branch,ia,United States,changing,600.0,10 minutes,8/5/2001,43.39592,-92.228675,10/20/2000,21:00
newport (uk/england),,United Kingdom,diamond,3.0,3 seconds,12/9/2000,52.016667,-4.833333,10/20/2000,23:00
greenville,nc,United States,changing,3000.0,50 min,12/2/2000,35.6125,-77.3666667,10/20/2000,23:30
cocoa beach,fl,United States,triangle,30.0,30 seconds,1/17/2004,28.3197222,-80.6077778,10/20/2001,13:00
terrell,tx,United States,circle,180.0,3min,9/28/2003,32.7358333,-96.275,10/20/2001,15:00
revelstoke area (canada),bc,Canada,flash,5.0,5 seconds,11/20/2001,50.998115,-118.195672,10/20/2001,23:30
chelsea,mi,United States,diamond,600.0,5-10 minutes,11/20/2001,42.3180556,-84.0205556,10/20/2001,23:59
albany,ny,United States,,3.0,1/3 second (est.),10/28/2002,42.6525,-73.7566667,10/20/2002,16:00
albany,ny,United States,cigar,5.0,5 seconds,10/28/2002,42.6525,-73.7566667,10/20/2002,16:00
